Grid,Agents,Targets,Mode,Success%,Avg_Targets
100,5,1,centralized,100.00,1.00
100,3,3,distributed,84.00,2.81
100,3,1,centralized,84.00,0.84
100,5,1,distributed,78.00,0.78
100,5,3,distributed,90.00,2.90
100,3,1,distributed,75.00,0.75
100,3,3,centralized,82.00,2.81
100,3,5,centralized,86.00,4.85
100,5,10,centralized,81.00,9.64
100,5,3,centralized,98.00,2.97
100,3,15,distributed,92.00,14.88
100,5,20,centralized,96.00,19.94
100,5,10,distributed,96.00,9.95
100,5,20,distributed,99.00,19.99
100,3,5,distributed,88.00,4.87
200,3,10,distributed,100.00,10.00
200,5,1,centralized,92.00,0.92
100,3,20,centralized,100.00,20.00
100,5,5,distributed,87.00,4.84
200,5,1,distributed,99.00,0.99
100,5,15,distributed,90.00,14.80
100,5,15,centralized,94.00,14.93
200,3,1,distributed,84.00,0.84
100,3,10,distributed,88.00,9.86
100,5,5,centralized,92.00,4.91
200,5,3,distributed,100.00,3.00
100,3,10,centralized,92.00,9.92
100,3,15,centralized,86.00,14.82
100,3,20,distributed,82.00,19.73
200,3,5,centralized,96.00,4.96
200,3,1,centralized,80.00,0.80
200,5,5,distributed,95.00,4.94
200,3,3,distributed,46.00,2.34
200,3,15,centralized,87.00,14.83
200,3,3,centralized,46.00,2.38
200,5,15,distributed,99.00,14.99
200,5,10,centralized,99.00,9.99
200,5,15,centralized,84.00,14.75
200,3,20,centralized,92.00,19.88
200,3,5,distributed,39.00,4.21
200,3,15,distributed,33.00,13.49
200,5,10,distributed,54.00,9.34
200,5,3,centralized,74.00,2.67
200,5,5,centralized,63.00,4.44
200,5,20,distributed,52.00,19.11
200,3,20,distributed,100.00,20.00
200,5,20,centralized,97.00,19.96
